,state,county,dc,dcV,pop,popV,aadc,aadcV,dcC,dcCV,good,fips,county_lower,test,county_lookup,geojson_lookup,pct_mortality
42,ALABAMA,LOWNDES,0.0,VALID,7642.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,01,Lowndes,True,Lowndes|01,1996,0.0
43,ALABAMA,MACON,1.0,VALID,9340.0,VALID,6.1,UNRELIABLE,10.7,UNRELIABLE,1,01,Macon,True,Macon|01,2508,0.00010706638115631691
44,ALABAMA,MADISON,18.0,VALID,436944.0,VALID,4.4,UNRELIABLE,4.1,UNRELIABLE,1,01,Madison,True,Madison|01,1858,4.1195210370207624e-05
45,ALABAMA,MARENGO,2.0,VALID,28030.0,VALID,5.8,UNRELIABLE,7.1,UNRELIABLE,1,01,Marengo,True,Marengo|01,1131,7.135212272565108e-05
46,ALABAMA,MARION,4.0,VALID,71357.0,VALID,4.9,UNRELIABLE,5.6,UNRELIABLE,1,01,Marion,True,Marion|01,463,5.605616828061718e-05
47,ALABAMA,MARSHALL,6.0,VALID,165238.0,VALID,3.3,UNRELIABLE,3.6,UNRELIABLE,1,01,Marshall,True,Marshall|01,1202,3.631126012176376e-05
48,ALABAMA,MOBILE,29.0,VALID,625261.0,VALID,4.9,VALID,4.6,VALID,1,01,Mobile,True,Mobile|01,3082,4.638063144830719e-05
49,ALABAMA,MONROE,1.0,VALID,33151.0,VALID,2.8,UNRELIABLE,3.0,UNRELIABLE,1,01,Monroe,True,Monroe|01,1730,3.0165002564025218e-05
50,ALABAMA,MONTGOMERY,16.0,VALID,290096.0,VALID,5.5,UNRELIABLE,5.5,UNRELIABLE,1,01,Montgomery,True,Montgomery|01,1385,5.5154155865644475e-05
51,ALABAMA,MORGAN,9.0,VALID,211447.0,VALID,4.5,UNRELIABLE,4.3,UNRELIABLE,1,01,Morgan,True,Morgan|01,815,4.2563857609708346e-05
52,ALABAMA,PERRY,0.0,VALID,12270.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,01,Perry,True,Perry|01,2975,0.0
53,ALABAMA,PICKENS,3.0,VALID,30238.0,VALID,7.7,UNRELIABLE,9.9,UNRELIABLE,1,01,Pickens,True,Pickens|01,2454,9.921291090680601e-05
54,ALABAMA,PIKE,0.0,VALID,43542.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,01,Pike,True,Pike|01,590,0.0
55,ALABAMA,RANDOLPH,0.0,VALID,36424.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,01,Randolph,True,Randolph|01,176,0.0
56,ALABAMA,RUSSELL,8.0,VALID,69969.0,VALID,11.0,UNRELIABLE,11.4,UNRELIABLE,1,01,Russell,True,Russell|01,2839,0.000114336348954537
57,ALABAMA,SAINT.CLAIR,7.0,VALID,106104.0,VALID,6.3,UNRELIABLE,6.6,UNRELIABLE,1,01,St. Clair,True,St. Clair|01,2634,6.597300761517002e-05
58,ALABAMA,SHELBY,7.0,VALID,197179.0,VALID,5.4,UNRELIABLE,3.6,UNRELIABLE,1,01,Shelby,True,Shelby|01,2213,3.5500737908195094e-05
59,ALABAMA,SUMTER,0.0,VALID,12332.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,01,Sumter,True,Sumter|01,1706,0.0
60,ALABAMA,TALLADEGA,5.0,VALID,125581.0,VALID,3.6,UNRELIABLE,4.0,UNRELIABLE,1,01,Talladega,True,Talladega|01,2740,3.981494015814494e-05
61,ALABAMA,TALLAPOOSA,7.0,VALID,68002.0,VALID,7.6,UNRELIABLE,10.3,UNRELIABLE,1,01,Tallapoosa,True,Tallapoosa|01,1000,0.00010293814887797418
62,ALABAMA,TUSCALOOSA,9.0,VALID,261898.0,VALID,3.7,UNRELIABLE,3.4,UNRELIABLE,1,01,Tuscaloosa,True,Tuscaloosa|01,2232,3.436452359315459e-05
63,ALABAMA,WALKER,6.0,VALID,153522.0,VALID,3.6,UNRELIABLE,3.9,UNRELIABLE,1,01,Walker,True,Walker|01,2231,3.90823465040841e-05
64,ALABAMA,WASHINGTON,1.0,VALID,27858.0,VALID,3.3,UNRELIABLE,3.6,UNRELIABLE,1,01,Washington,True,Washington|01,1998,3.589633139493144e-05
65,ALABAMA,WILCOX,1.0,VALID,10727.0,VALID,8.1,UNRELIABLE,9.3,UNRELIABLE,1,01,Wilcox,True,Wilcox|01,3220,9.322270905192505e-05
66,ALABAMA,WINSTON,3.0,VALID,53220.0,VALID,4.9,UNRELIABLE,5.6,UNRELIABLE,1,01,Winston,True,Winston|01,450,5.636978579481398e-05
68,ARIZONA,APACHE,0.0,VALID,32878.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,04,Apache,True,Apache|04,1859,0.0
69,ARIZONA,COCHISE,9.0,VALID,221501.0,VALID,4.2,UNRELIABLE,4.1,UNRELIABLE,1,04,Cochise,True,Cochise|04,1776,4.063187073647523e-05
70,ARIZONA,COCONINO,5.0,VALID,156442.0,VALID,4.4,UNRELIABLE,3.2,UNRELIABLE,1,04,Coconino,True,Coconino|04,26,3.196072665908132e-05
71,ARIZONA,GILA,7.0,VALID,81259.0,VALID,6.3,UNRELIABLE,8.6,UNRELIABLE,1,04,Gila,True,Gila|04,184,8.61443040155552e-05
72,ARIZONA,GRAHAM,6.0,VALID,53873.0,VALID,11.0,UNRELIABLE,11.1,UNRELIABLE,1,04,Graham,True,Graham|04,2511,0.00011137304401091456
73,ARIZONA,GREENLEE,0.0,VALID,20305.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,04,Greenlee,True,Greenlee|04,1122,0.0
74,ARIZONA,MARICOPA,201.0,VALID,4529317.0,VALID,4.3,VALID,4.4,VALID,1,04,Maricopa,True,Maricopa|04,1901,4.437755184722112e-05
75,ARIZONA,MOHAVE,22.0,VALID,189941.0,VALID,7.6,VALID,11.6,VALID,1,04,Mohave,True,Mohave|04,728,0.00011582544053153348
76,ARIZONA,NAVAJO,6.0,VALID,88941.0,VALID,7.0,UNRELIABLE,6.7,UNRELIABLE,1,04,Navajo,True,Navajo|04,2569,6.746045131041926e-05
77,ARIZONA,PIMA,82.0,VALID,1430268.0,VALID,5.3,VALID,5.7,VALID,1,04,Pima,True,Pima|04,1707,5.733191262057181e-05
78,ARIZONA,PINAL,13.0,VALID,243082.0,VALID,4.6,UNRELIABLE,5.3,UNRELIABLE,1,04,Pinal,True,Pinal|04,1902,5.3479895673065054e-05
79,ARIZONA,SANTA.CRUZ,5.0,VALID,60619.0,VALID,9.6,UNRELIABLE,8.2,UNRELIABLE,1,04,Santa Cruz,True,Santa Cruz|04,2384,8.248239000973292e-05
80,ARIZONA,YAVAPAI,21.0,VALID,223856.0,VALID,5.6,VALID,9.4,VALID,1,04,Yavapai,True,Yavapai|04,1267,9.381030662568795e-05
81,ARIZONA,YUMA,13.0,VALID,253889.0,VALID,4.1,UNRELIABLE,5.1,UNRELIABLE,1,04,Yuma,True,Yuma|04,1917,5.120347868556732e-05
82,ARKANSAS,ARKANSAS,3.0,VALID,41975.0,VALID,6.3,UNRELIABLE,7.1,UNRELIABLE,1,05,Arkansas,True,Arkansas|05,1415,7.14711137581894e-05
83,ARKANSAS,ASHLEY,1.0,VALID,44659.0,VALID,1.8,UNRELIABLE,2.2,UNRELIABLE,1,05,Ashley,True,Ashley|05,2588,2.2391903087843435e-05
84,ARKANSAS,BAXTER,4.0,VALID,72193.0,VALID,3.3,UNRELIABLE,5.5,UNRELIABLE,1,05,Baxter,True,Baxter|05,2628,5.540703392295652e-05
85,ARKANSAS,BENTON,15.0,VALID,216121.0,VALID,5.8,UNRELIABLE,6.9,UNRELIABLE,1,05,Benton,True,Benton|05,1825,6.940556447545588e-05
86,ARKANSAS,BOONE,5.0,VALID,66343.0,VALID,6.7,UNRELIABLE,7.5,UNRELIABLE,1,05,Boone,True,Boone|05,2420,7.536590145154726e-05
87,ARKANSAS,BRADLEY,0.0,VALID,20474.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,05,Bradley,True,Bradley|05,2203,0.0
88,ARKANSAS,CALHOUN,2.0,VALID,10954.0,VALID,12.1,UNRELIABLE,18.3,UNRELIABLE,1,05,Calhoun,True,Calhoun|05,2913,0.00018258170531312764
89,ARKANSAS,CARROLL,3.0,VALID,43077.0,VALID,5.9,UNRELIABLE,7.0,UNRELIABLE,1,05,Carroll,True,Carroll|05,1957,6.964273278083432e-05
90,ARKANSAS,CHICOT,0.0,VALID,17625.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,05,Chicot,True,Chicot|05,2994,0.0
91,ARKANSAS,CLARK,1.0,VALID,41266.0,VALID,1.5,UNRELIABLE,2.4,UNRELIABLE,1,05,Clark,True,Clark|05,3219,2.423302476615131e-05
92,ARKANSAS,CLAY,5.0,VALID,44842.0,VALID,6.9,UNRELIABLE,11.2,UNRELIABLE,1,05,Clay,True,Clay|05,1123,0.00011150260916105437
93,ARKANSAS,CLEBURNE,4.0,VALID,45415.0,VALID,4.9,UNRELIABLE,8.8,UNRELIABLE,1,05,Cleburne,True,Cleburne|05,358,8.807662666519873e-05
94,ARKANSAS,CLEVELAND,1.0,VALID,16595.0,VALID,5.5,UNRELIABLE,6.0,UNRELIABLE,1,05,Cleveland,True,Cleveland|05,384,6.025911419102139e-05
95,ARKANSAS,COLUMBIA,5.0,VALID,40664.0,VALID,10.0,UNRELIABLE,12.3,UNRELIABLE,1,05,Columbia,True,Columbia|05,3080,0.0001229588825496754
96,ARKANSAS,CONWAY,1.0,VALID,39397.0,VALID,2.3,UNRELIABLE,2.5,UNRELIABLE,1,05,Conway,True,Conway|05,186,2.538264334847831e-05
97,ARKANSAS,CRAIGHEAD,7.0,VALID,148885.0,VALID,4.9,UNRELIABLE,4.7,UNRELIABLE,1,05,Craighead,True,Craighead|05,177,4.7016153406991976e-05
98,ARKANSAS,CRAWFORD,4.0,VALID,95976.0,VALID,4.0,UNRELIABLE,4.2,UNRELIABLE,1,05,Crawford,True,Crawford|05,1652,4.16770859381512e-05
99,ARKANSAS,CRITTENDEN,1.0,VALID,68334.0,VALID,1.6,UNRELIABLE,1.5,UNRELIABLE,1,05,Crittenden,True,Crittenden|05,2252,1.4634003570696872e-05
100,ARKANSAS,CROSS,2.0,VALID,35786.0,VALID,5.2,UNRELIABLE,5.6,UNRELIABLE,1,05,Cross,True,Cross|05,388,5.588777734309507e-05
101,ARKANSAS,DALLAS,0.0,VALID,14894.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,05,Dallas,True,Dallas|05,1646,0.0
102,ARKANSAS,DESHA,1.0,VALID,24433.0,VALID,3.5,UNRELIABLE,4.1,UNRELIABLE,1,05,Desha,True,Desha|05,2635,4.0928252772889126e-05
103,ARKANSAS,DREW,4.0,VALID,31374.0,VALID,11.5,UNRELIABLE,12.7,UNRELIABLE,1,05,Drew,True,Drew|05,454,0.00012749410339771785
104,ARKANSAS,FAULKNER,4.0,VALID,121957.0,VALID,3.7,UNRELIABLE,3.3,UNRELIABLE,1,05,Faulkner,True,Faulkner|05,1671,3.279844535369023e-05
105,ARKANSAS,FRANKLIN,2.0,VALID,36425.0,VALID,3.3,UNRELIABLE,5.5,UNRELIABLE,1,05,Franklin,True,Franklin|05,1767,5.490734385724091e-05
106,ARKANSAS,FULTON,2.0,VALID,23899.0,VALID,3.8,UNRELIABLE,8.4,UNRELIABLE,1,05,Fulton,True,Fulton|05,2542,8.368550985396879e-05
107,ARKANSAS,GARLAND,18.0,VALID,158622.0,VALID,7.1,UNRELIABLE,11.3,UNRELIABLE,1,05,Garland,True,Garland|05,8,0.0001134773234481976
108,ARKANSAS,GRANT,1.0,VALID,32318.0,VALID,2.5,UNRELIABLE,3.1,UNRELIABLE,1,05,Grant,True,Grant|05,3148,3.094250881861501e-05
109,ARKANSAS,GREENE,4.0,VALID,75475.0,VALID,4.3,UNRELIABLE,5.3,UNRELIABLE,1,05,Greene,True,Greene|05,1726,5.299768135144087e-05
110,ARKANSAS,HEMPSTEAD,3.0,VALID,37129.0,VALID,7.1,UNRELIABLE,8.1,UNRELIABLE,1,05,Hempstead,True,Hempstead|05,1480,8.079937515149882e-05
111,ARKANSAS,HOT.SPRING,3.0,VALID,57181.0,VALID,4.1,UNRELIABLE,5.2,UNRELIABLE,1,05,Hot Spring,True,Hot Spring|05,1005,5.246497962609958e-05
112,ARKANSAS,HOWARD,2.0,VALID,25798.0,VALID,7.7,UNRELIABLE,7.8,UNRELIABLE,1,05,Howard,True,Howard|05,2850,7.752538956508256e-05
113,ARKANSAS,INDEPENDENCE,4.0,VALID,74203.0,VALID,4.4,UNRELIABLE,5.4,UNRELIABLE,1,05,Independence,True,Independence|05,1518,5.390617630014959e-05
114,ARKANSAS,IZARD,2.0,VALID,26338.0,VALID,3.0,UNRELIABLE,7.6,UNRELIABLE,1,05,Izard,True,Izard|05,739,7.593591009188245e-05
115,ARKANSAS,JACKSON,3.0,VALID,40330.0,VALID,5.6,UNRELIABLE,7.4,UNRELIABLE,1,05,Jackson,True,Jackson|05,1168,7.438631291842301e-05
116,ARKANSAS,JEFFERSON,6.0,VALID,122469.0,VALID,4.4,UNRELIABLE,4.9,UNRELIABLE,1,05,Jefferson,True,Jefferson|05,1229,4.899198980966612e-05
117,ARKANSAS,JOHNSON,5.0,VALID,43192.0,VALID,10.4,UNRELIABLE,11.6,UNRELIABLE,1,05,Johnson,True,Johnson|05,2465,0.00011576217818114465
118,ARKANSAS,LAFAYETTE,1.0,VALID,14653.0,VALID,5.9,UNRELIABLE,6.8,UNRELIABLE,1,05,Lafayette,True,Lafayette|05,1422,6.824541049614414e-05
119,ARKANSAS,LAWRENCE,4.0,VALID,42407.0,VALID,6.4,UNRELIABLE,9.4,UNRELIABLE,1,05,Lawrence,True,Lawrence|05,969,9.43240502747188e-05
120,ARKANSAS,LEE,2.0,VALID,14755.0,VALID,11.9,UNRELIABLE,13.6,UNRELIABLE,1,05,Lee,True,Lee|05,2121,0.00013554727211114877
121,ARKANSAS,LINCOLN,1.0,VALID,23567.0,VALID,5.8,UNRELIABLE,4.2,UNRELIABLE,1,05,Lincoln,True,Lincoln|05,1852,4.24322145372767e-05
122,ARKANSAS,LITTLE.RIVER,0.0,VALID,26266.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,05,Little River,True,Little River|05,414,0.0
123,ARKANSAS,LOGAN,1.0,VALID,49772.0,VALID,1.8,UNRELIABLE,2.0,UNRELIABLE,1,05,Logan,True,Logan|05,2946,2.009161777706341e-05
124,ARKANSAS,LONOKE,6.0,VALID,83009.0,VALID,7.3,UNRELIABLE,7.2,UNRELIABLE,1,05,Lonoke,True,Lonoke|05,3201,7.228131889313207e-05
125,ARKANSAS,MADISON,3.0,VALID,28469.0,VALID,7.9,UNRELIABLE,10.5,UNRELIABLE,1,05,Madison,True,Madison|05,813,0.00010537777933893006
126,ARKANSAS,MARION,2.0,VALID,28828.0,VALID,3.0,UNRELIABLE,6.9,UNRELIABLE,1,05,Marion,True,Marion|05,2641,6.937699458859442e-05
127,ARKANSAS,MILLER,6.0,VALID,71947.0,VALID,7.9,UNRELIABLE,8.3,UNRELIABLE,1,05,Miller,True,Miller|05,3134,8.339472111415348e-05
128,ARKANSAS,MISSISSIPPI,6.0,VALID,102790.0,VALID,6.1,UNRELIABLE,5.8,UNRELIABLE,1,05,Mississippi,True,Mississippi|05,2327,5.8371436910205274e-05
129,ARKANSAS,MONROE,3.0,VALID,17558.0,VALID,10.8,UNRELIABLE,17.1,UNRELIABLE,1,05,Monroe,True,Monroe|05,2113,0.00017086228499829138
130,ARKANSAS,MONTGOMERY,1.0,VALID,19122.0,VALID,2.4,UNRELIABLE,5.2,UNRELIABLE,1,05,Montgomery,True,Montgomery|05,761,5.2295784959732244e-05
131,ARKANSAS,NEVADA,0.0,VALID,17384.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,05,Nevada,True,Nevada|05,1248,0.0
132,ARKANSAS,NEWTON,1.0,VALID,19343.0,VALID,5.0,UNRELIABLE,5.2,UNRELIABLE,1,05,Newton,True,Newton|05,540,5.1698288786641165e-05
133,ARKANSAS,OUACHITA,1.0,VALID,48924.0,VALID,1.8,UNRELIABLE,2.0,UNRELIABLE,1,05,Ouachita,True,Ouachita|05,1332,2.04398659144796e-05
134,ARKANSAS,PERRY,1.0,VALID,19011.0,VALID,3.7,UNRELIABLE,5.3,UNRELIABLE,1,05,Perry,True,Perry|05,2738,5.2601125664089215e-05
135,ARKANSAS,PHILLIPS,4.0,VALID,33156.0,VALID,9.6,UNRELIABLE,12.1,UNRELIABLE,1,05,Phillips,True,Phillips|05,1395,0.00012064181445288937
136,ARKANSAS,PIKE,0.0,VALID,23526.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,05,Pike,True,Pike|05,1036,0.0
137,ARKANSAS,POINSETT,3.0,VALID,56787.0,VALID,4.3,UNRELIABLE,5.3,UNRELIABLE,1,05,Poinsett,True,Poinsett|05,1088,5.282899255111205e-05
138,ARKANSAS,POLK,3.0,VALID,41306.0,VALID,4.1,UNRELIABLE,7.3,UNRELIABLE,1,05,Polk,True,Polk|05,1103,7.26286738004164e-05
139,ARKANSAS,POPE,9.0,VALID,104421.0,VALID,9.2,UNRELIABLE,8.6,UNRELIABLE,1,05,Pope,True,Pope|05,2544,8.618955957135058e-05
140,ARKANSAS,PRAIRIE,2.0,VALID,20809.0,VALID,8.0,UNRELIABLE,9.6,UNRELIABLE,1,05,Prairie,True,Prairie|05,2886,9.611225911865059e-05
141,ARKANSAS,PULASKI,30.0,VALID,620921.0,VALID,5.0,VALID,4.8,VALID,1,05,Pulaski,True,Pulaski|05,1545,4.831532513798052e-05
142,ARKANSAS,RANDOLPH,2.0,VALID,39238.0,VALID,3.3,UNRELIABLE,5.1,UNRELIABLE,1,05,Randolph,True,Randolph|05,1121,5.0970997502421125e-05
143,ARKANSAS,SAINT.FRANCIS,3.0,VALID,37259.0,VALID,7.0,UNRELIABLE,8.1,UNRELIABLE,1,05,St. Francis,True,St. Francis|05,97,8.05174588689981e-05
144,ARKANSAS,SALINE,12.0,VALID,144690.0,VALID,8.9,UNRELIABLE,8.3,UNRELIABLE,1,05,Saline,True,Saline|05,2324,8.293593199253576e-05
145,ARKANSAS,SCOTT,0.0,VALID,24840.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,05,Scott,True,Scott|05,2683,0.0
146,ARKANSAS,SEARCY,1.0,VALID,20137.0,VALID,3.1,UNRELIABLE,5.0,UNRELIABLE,1,05,Searcy,True,Searcy|05,517,4.965983016338084e-05
147,ARKANSAS,SEBASTIAN,8.0,VALID,216040.0,VALID,3.3,UNRELIABLE,3.7,UNRELIABLE,1,05,Sebastian,True,Sebastian|05,1991,3.703017959637104e-05
148,ARKANSAS,SEVIER,1.0,VALID,31158.0,VALID,3.3,UNRELIABLE,3.2,UNRELIABLE,1,05,Sevier,True,Sevier|05,2846,3.209448616727646e-05
149,ARKANSAS,SHARP,5.0,VALID,33806.0,VALID,6.0,UNRELIABLE,14.8,UNRELIABLE,1,05,Sharp,True,Sharp|05,2253,0.00014790273915872923
150,ARKANSAS,STONE,5.0,VALID,23148.0,VALID,14.8,UNRELIABLE,21.6,UNRELIABLE,1,05,Stone,True,Stone|05,847,0.0002160013824088474
151,ARKANSAS,UNION,10.0,VALID,79607.0,VALID,10.2,UNRELIABLE,12.6,UNRELIABLE,1,05,Union,True,Union|05,1313,0.000125617093974148
152,ARKANSAS,VAN.BUREN,1.0,VALID,33901.0,VALID,1.3,UNRELIABLE,2.9,UNRELIABLE,1,05,Van Buren,True,Van Buren|05,661,2.9497654936432553e-05
153,ARKANSAS,WASHINGTON,10.0,VALID,258417.0,VALID,4.7,UNRELIABLE,3.9,UNRELIABLE,1,05,Washington,True,Washington|05,2439,3.8697144537704565e-05
154,ARKANSAS,WHITE,12.0,VALID,124178.0,VALID,8.6,UNRELIABLE,9.7,UNRELIABLE,1,05,White,True,White|05,2656,9.663547488282948e-05
